id,title,description,due_date,deadline,priority,status,user_id,created_at,updated_at,category,actual_time,time_taken,start_time,estimated_time
36,Task 36,Description for Task 36.,2025-03-17 13:53:00,2025-03-18 13:53:00,1,Done,2,2025-03-06 13:53:00,2025-03-08 13:53:00,meeting,2025-03-09 18:53:00,"58 hours, 0 minutes",2025-03-07 08:53:00,926
37,Task 37,Description for Task 37.,2025-03-16 08:07:00,2025-03-24 08:07:00,3,Completed,1,2025-03-14 08:07:00,2025-03-17 08:07:00,reading,2025-03-15 14:07:00,"8 hours, 0 minutes",2025-03-15 06:07:00,4917
38,Task 38,Description for Task 38.,2025-03-24 14:56:00,2025-04-01 14:56:00,2,In Progress,2,2025-03-17 14:56:00,2025-03-19 14:56:00,coding,,,,2024
39,Task 39,Description for Task 39.,2025-03-20 19:20:00,2025-03-25 19:20:00,2,Done,2,2025-03-13 19:20:00,2025-03-17 19:20:00,reading,2025-03-16 08:20:00,"14 hours, 0 minutes",2025-03-15 18:20:00,5326
40,Task 40,Description for Task 40.,2025-03-20 08:14:00,2025-03-25 08:14:00,3,Done,2,2025-03-18 08:14:00,2025-03-23 08:14:00,coding,2025-03-22 12:14:00,"83 hours, 0 minutes",2025-03-19 01:14:00,584
41,Task 41,Description for Task 41.,2025-03-18 19:52:00,2025-03-24 19:52:00,1,In Progress,2,2025-03-13 19:52:00,2025-03-17 19:52:00,designing,,,,5917
42,Task 42,Description for Task 42.,2025-03-12 09:25:00,2025-03-17 09:25:00,1,In Progress,1,2025-03-01 09:25:00,2025-03-02 09:25:00,exercising,,,,5248
43,Task 43,Description for Task 43.,2025-03-12 08:09:00,2025-03-17 08:09:00,3,To Do,1,2025-03-10 08:09:00,2025-03-12 08:09:00,designing,,,,4552
44,Task 44,Description for Task 44.,2025-03-21 13:02:00,2025-03-29 13:02:00,3,In Progress,3,2025-03-18 13:02:00,2025-03-22 13:02:00,reading,,,,5317
45,Task 45,Description for Task 45.,2025-03-25 19:07:00,2025-03-28 19:07:00,2,In Progress,3,2025-03-17 19:07:00,2025-03-18 19:07:00,designing,,,,70
46,Task 46,Description for Task 46.,2025-03-20 17:14:00,2025-03-21 17:14:00,3,To Do,1,2025-03-10 17:14:00,2025-03-13 17:14:00,exercising,,,,1658
47,Task 47,Description for Task 47.,2025-03-16 09:21:00,2025-03-20 09:21:00,2,Completed,1,2025-03-07 09:21:00,2025-03-10 09:21:00,writing,2025-03-12 00:21:00,"78 hours, 0 minutes",2025-03-08 18:21:00,1983
48,Task 48,Description for Task 48.,2025-03-17 13:18:00,2025-03-22 13:18:00,3,In Progress,1,2025-03-13 13:18:00,2025-03-18 13:18:00,reading,,,,1420
49,Task 49,Description for Task 49.,2025-03-27 16:27:00,2025-04-06 16:27:00,1,Completed,1,2025-03-18 16:27:00,2025-03-21 16:27:00,writing,2025-03-21 22:27:00,"66 hours, 0 minutes",2025-03-19 04:27:00,4155
50,Task 50,Description for Task 50.,2025-03-14 08:14:00,2025-03-15 08:14:00,1,To Do,3,2025-03-12 08:14:00,2025-03-13 08:14:00,meeting,,,,5014
